qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|B5EH99|B5EH99_CITBB	UPIMAPI	Phosphate-selective outer membrane channel			PF07396;
tr|B5EFW8|B5EFW8_CITBB	UPIMAPI	LemA family lipoprotein	membrane [GO:0016020]		PF04011;
tr|B5EF48|B5EF48_CITBB	UPIMAPI	Type IV pilus assembly protein PilY1			PF13205;
tr|B4Y5E5|B4Y5E5_9ORYZ	UPIMAPI	Pi-ta	ADP binding [GO:0043531]; defense response to other organism [GO:0098542]		PF23598;PF00931;PF18052;PF23559;
tr|B4S6Z2|B4S6Z2_PROA2	UPIMAPI	Outer membrane adhesin like protein			PF19077;PF17963;PF17803;
tr|B4CX72|B4CX72_9BACT	UPIMAPI	Polysaccharide lyase family 8 (EC 4.2.2.20)	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; chondroitin-sulfate-ABC endolyase activity [GO:0034000]; carbohydrate metabolic process [GO:0005975]; glycosaminoglycan catabolic process [GO:0006027]	4.2.2.20	PF17963;PF05345;PF02278;PF09093;PF09092;
tr|B4CVQ4|B4CVQ4_9BACT	UPIMAPI	PEP-CTERM protein-sorting domain-containing protein			
tr|B3G2A2|B3G2A2_PSEAI	UPIMAPI	Halogenase pltM	monooxygenase activity [GO:0004497]		PF04820;
tr|B3EBN8|B3EBN8_TRIL1	UPIMAPI	Flagellin domain protein	structural molecule activity [GO:0005198]		PF00669;
tr|B3E2Z7|B3E2Z7_TRIL1	UPIMAPI	TonB-dependent receptor plug	cell outer membrane [GO:0009279]; cobalamin transport [GO:0015889]; monoatomic ion transport [GO:0006811]		PF07715;PF00593;
tr|B2YK70|B2YK70_9BACT	UPIMAPI	Cpn60	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; protein refolding [GO:0042026]		PF00118;
tr|B2UP90|B2UP90_AKKM8	UPIMAPI	Glutamate dehydrogenase	cytosol [GO:0005829]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; nucleotide binding [GO:0000166]; glutamate biosynthetic process [GO:0006537]		PF00208;PF02812;
tr|B2RIQ2|B2RIQ2_PORG3	UPIMAPI	Uncharacterized protein pg0694	cell outer membrane [GO:0009279]		PF00691;
tr|B2J696|B2J696_NOSP7	UPIMAPI	adenosine deaminase (EC 3.5.4.4)	cytosol [GO:0005829]; 2'-deoxyadenosine deaminase activity [GO:0046936]; adenosine deaminase activity [GO:0004000]; adenosine catabolic process [GO:0006154]; hypoxanthine salvage [GO:0043103]; inosine biosynthetic process [GO:0046103]	3.5.4.4	PF00962;
tr|B2G4R2|B2G4R2_ZYGRO	UPIMAPI	ZYRO0D08910p	membrane [GO:0016020]; mitochondrion [GO:0005739]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]		PF08326;PF21385;PF02785;PF00289;PF00364;PF01039;PF02786;
tr|B2AE47|B2AE47_PODAN	UPIMAPI	Podospora anserina S mat+ genomic DNA chromosome 4, supercontig 2			
tr|B1ZL74|B1ZL74_METPB	UPIMAPI	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564]	1.1.1.95	PF00389;PF02826;PF01842;PF19304;
tr|B1L5S6|B1L5S6_KORCO	UPIMAPI	Solute binding protein-like protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|B1I6G0|B1I6G0_DESAP	UPIMAPI	Copper amine oxidase domain protein			PF07833;
tr|B1HME3|B1HME3_LYSSC	UPIMAPI	Hemolysin-type calcium-binding region:RTX N-terminal domain			PF13205;
tr|B0VJT7|B0VJT7_CLOAI	UPIMAPI	Outer membrane protein beta-barrel domain-containing protein			PF13505;
tr|B0VIW3|B0VIW3_CLOAI	UPIMAPI	Putative Molecular chaperone (Small heat shock protein)			PF00011;
tr|B0VH79|B0VH79_CLOAI	UPIMAPI	Fibronectin type-III domain-containing protein	cell projection [GO:0042995]; cytoplasm [GO:0005737]		PF22544;
tr|B0VGQ0|B0VGQ0_CLOAI	UPIMAPI	FlgD/Vpr Ig-like domain-containing protein			PF13860;
tr|B0VGN2|B0VGN2_CLOAI	UPIMAPI	Fibronectin type-III domain-containing protein	membrane [GO:0016020]		
tr|B0VGC9|B0VGC9_CLOAI	UPIMAPI	Elongation factor Tu (EF-Tu)	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		PF00009;PF03144;PF03143;
tr|B0VG09|B0VG09_CLOAI	UPIMAPI	FlgD Ig-like domain-containing protein			PF12245;PF13860;
tr|B0VF50|B0VF50_CLOAI	UPIMAPI	PKD domain-containing protein	cell-matrix adhesion [GO:0007160]		PF13860;PF06119;PF05048;PF18911;
tr|B0TJ27|B0TJ27_SHEHH	UPIMAPI	TonB-dependent receptor	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;PF07715;PF00593;
tr|B0TD59|B0TD59_HELMI	UPIMAPI	Multidomain protein with s-layer homology region, glug motif, ig motif, i-set domain	cell envelope [GO:0030313]; membrane [GO:0016020]; calcium ion binding [GO:0005509]		PF02368;PF09479;PF07581;PF05345;PF07679;PF13927;PF13385;PF00395;
tr|B0P7U5|B0P7U5_9FIRM	UPIMAPI	Receptor family ligand-binding protein	amino acid transport [GO:0006865]		PF13458;
tr|B0B5L4|B0B5L4_CLOBO	UPIMAPI	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	1.1.1.205	PF00571;PF00478;
tr|A9MLQ2|A9MLQ2_SALAR	UPIMAPI	Propanediol dehydratase medium subunit PduD			PF02288;
tr|A9LA76|A9LA76_AVEFL	UPIMAPI	Maturase K (Intron maturase)	chloroplast [GO:0009507]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; tRNA processing [GO:0008033]		PF01348;PF01824;
tr|A9KKM8|A9KKM8_LACP7	UPIMAPI	Extracellular solute-binding protein family 5	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|A9F1K7|A9F1K7_SORC5	UPIMAPI	Oar protein	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;PF00593;
tr|A9BH12|A9BH12_PETMO	UPIMAPI	Extracellular ligand-binding receptor	amino acid transport [GO:0006865]		PF13458;
tr|A9BGN9|A9BGN9_PETMO	UPIMAPI	Glutamate dehydrogenase	glutamate dehydrogenase (NAD+) activity [GO:0004352]; nucleotide binding [GO:0000166]; glutamate catabolic process [GO:0006538]		PF00208;PF02812;
tr|A9BGI1|A9BGI1_PETMO	UPIMAPI	Extracellular solute-binding protein family 5	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|A9BG52|A9BG52_PETMO	UPIMAPI	Alkaline shock protein			PF03780;
tr|A9BG31|A9BG31_PETMO	UPIMAPI	Extracellular solute-binding protein family 1	cell envelope [GO:0030313]		PF13416;
tr|A9BES8|A9BES8_PETMO	UPIMAPI	S-layer domain protein	membrane [GO:0016020]		PF00395;
tr|A9B3H3|A9B3H3_HERA2	UPIMAPI	Peptidase M23B	metalloendopeptidase activity [GO:0004222]		PF01551;
tr|A9B0X0|A9B0X0_HERA2	UPIMAPI	DUF4015 domain-containing protein			PF13200;
tr|A9A0K8|A9A0K8_DESOH	UPIMAPI	Polymorphic outer membrane protein	membrane [GO:0016020]		PF13229;PF18884;
tr|A8ZVJ1|A8ZVJ1_DESOH	UPIMAPI	Malate dehydrogenase (EC 1.1.1.37)	L-lactate dehydrogenase activity [GO:0004459]; L-malate dehydrogenase (NAD+) activity [GO:0030060]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]; tricarboxylic acid cycle [GO:0006099]	1.1.1.37	PF02866;PF00056;
tr|A8ZRW8|A8ZRW8_DESOH	UPIMAPI	Conserved carboxylase region	cytoplasm [GO:0005737]; pyruvate carboxylase activity [GO:0004736]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]		PF00364;PF00682;PF02436;
tr|A8XIG3|A8XIG3_CAEBR	UPIMAPI	SET domain-containing protein	chromosome [GO:0005694]; nucleus [GO:0005634]; histone H3 methyltransferase activity [GO:0140938]; protein-lysine N-methyltransferase activity [GO:0016279]; methylation [GO:0032259]		PF00856;
tr|A8UKK6|A8UKK6_9FLAO	UPIMAPI	methylmalonyl-CoA mutase (EC 5.4.99.2)	cytoplasm [GO:0005737]; cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methylmalonyl-CoA mutase activity [GO:0004494]; propionate metabolic process, methylmalonyl pathway [GO:0019678]	5.4.99.2	PF02310;PF01642;
tr|A8NPE3|A8NPE3_COPC7	UPIMAPI	DUF5648 domain-containing protein			PF18885;
tr|A8MM21|A8MM21_ALKOO	UPIMAPI	Conserved hypothetical lipoprotein			PF12683;
tr|A8MFW8|A8MFW8_ALKOO	UPIMAPI	Sarcosine reductase (EC 1.21.4.3)	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; sarcosine reductase activity [GO:0033794]; fatty acid biosynthetic process [GO:0006633]	1.21.4.3	PF08545;PF19364;
tr|A8MEU2|A8MEU2_ALKOO	UPIMAPI	Cyclase family protein	arylformamidase activity [GO:0004061]; L-tryptophan catabolic process to kynurenine [GO:0019441]		PF04199;
tr|A8F8V7|A8F8V7_PSELT	UPIMAPI	Peptidase S8 and S53 subtilisin kexin sedolisin	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF00082;
tr|A8F8E4|A8F8E4_PSELT	UPIMAPI	Uncharacterized protein UPF0065			PF03401;
tr|A8F6K8|A8F6K8_PSELT	UPIMAPI	Radical SAM domain protein	catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]		PF13353;PF04055;
tr|A8F5J2|A8F5J2_PSELT	UPIMAPI	Extracellular solute-binding protein family 3	cell envelope [GO:0030313]; membrane [GO:0016020]; ligand-gated monoatomic ion channel activity [GO:0015276]		PF00497;
tr|A8F4W7|A8F4W7_PSELT	UPIMAPI	Uncharacterized protein UPF0065			PF03401;
tr|A7ZRT4|A7ZRT4_ECO24	UPIMAPI	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	cytosol [GO:0005829]; [glutamate-ammonia-ligase] adenylyltransferase activity [GO:0008882]; [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase activity [GO:0047388]; ATP binding [GO:0005524]; ligase activity [GO:0016874]; magnesium ion binding [GO:0000287]; regulation of glutamine family amino acid metabolic process [GO:0000820]	2.7.7.42; 2.7.7.89	PF08335;PF03710;
tr|A7NKW2|A7NKW2_ROSCS	UPIMAPI	Dihydroxyacetone kinase, DhaK subunit (EC 2.7.1.29)	cytosol [GO:0005829]; glycerone kinase activity [GO:0004371]; glycerol catabolic process [GO:0019563]	2.7.1.29	PF02733;
tr|A7NFW8|A7NFW8_ROSCS	UPIMAPI	Tetratricopeptide TPR_2 repeat protein			PF13432;
tr|A7I5U3|A7I5U3_METB6	UPIMAPI	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]	2.8.4.1	PF02241;PF02783;
tr|A7I5T9|A7I5T9_METB6	UPIMAPI	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]	2.8.4.1	PF02249;PF02745;
tr|A7I5S3|A7I5S3_METB6	UPIMAPI	Tetrahydromethanopterin S-methyltransferase, MtrH subunit	methyltransferase activity [GO:0008168]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]		PF02007;
tr|A7HSX4|A7HSX4_PARL1	UPIMAPI	Short-chain dehydrogenase/reductase SDR	oxidoreductase activity [GO:0016491]		PF00106;
tr|A7HKG1|A7HKG1_FERNB	UPIMAPI	Extracellular ligand-binding receptor	amino acid transport [GO:0006865]		PF13458;
tr|A6ZJR7|A6ZJR7_9BACT	UPIMAPI	AprA	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase activity [GO:0000104]; anaerobic respiration [GO:0009061]		PF00890;
tr|A6YCY5|A6YCY5_9BACT	UPIMAPI	AprA	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase activity [GO:0000104]; anaerobic respiration [GO:0009061]		PF00890;
tr|A6YCY2|A6YCY2_9BACT	UPIMAPI	AprB	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]		PF12139;PF00037;
tr|A6UDY8|A6UDY8_SINMW	UPIMAPI	ABC-type sugar transport system periplasmic component-like protein	cell envelope [GO:0030313]; carbohydrate binding [GO:0030246]		PF13407;
tr|A6TX53|A6TX53_ALKMQ	UPIMAPI	TRAP transporter solute receptor, TAXI family			PF16868;
tr|A6NX83|A6NX83_9FIRM	UPIMAPI	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]	1.2.1.-	PF02800;PF00044;
tr|A6L9R5|A6L9R5_PARD8	UPIMAPI	OmpA family protein (Outer membrane protein A)	cell outer membrane [GO:0009279]		PF00691;
tr|A6L9B4|A6L9B4_PARD8	UPIMAPI	Putative outer membrane protein, probably involved in nutrient binding	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|A6EIZ1|A6EIZ1_9SPHI	UPIMAPI	Putative outer membrane protein	cell outer membrane [GO:0009279]		PF13715;PF07715;
tr|A6EE43|A6EE43_9SPHI	UPIMAPI	TonB-dependent receptor	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;
tr|A5USL7|A5USL7_ROSS1	UPIMAPI	Pyruvate flavodoxin/ferredoxin oxidoreductase domain protein	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; thiamine pyrophosphate binding [GO:0030976]; electron transport chain [GO:0022900]; response to oxidative stress [GO:0006979]		PF10371;PF12838;PF17147;PF01558;PF01855;PF02775;
tr|A5UQR3|A5UQR3_ROSS1	UPIMAPI	methylmalonyl-CoA mutase (EC 5.4.99.2)	cytoplasm [GO:0005737]; cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methylmalonyl-CoA mutase activity [GO:0004494]; propionate metabolic process, methylmalonyl pathway [GO:0019678]	5.4.99.2	PF01642;
tr|A5P862|A5P862_9SPHN	UPIMAPI	Zinc-dependent metallopeptidase	membrane [GO:0016020]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]; proteolysis [GO:0006508]		PF01401;
tr|A5GFL7|A5GFL7_GEOUR	UPIMAPI	LemA family protein	membrane [GO:0016020]		PF04011;
tr|A5GEZ5|A5GEZ5_GEOUR	UPIMAPI	Type IV pilus assembly protein PilM	cell division [GO:0051301]		PF11104;
tr|A5GEY9|A5GEY9_GEOUR	UPIMAPI	Tfp pilus assembly protein tip-associated adhesin PilY1-like protein			PF18998;
tr|A5GEA2|A5GEA2_GEOUR	UPIMAPI	Transporter			
tr|A5GDM1|A5GDM1_GEOUR	UPIMAPI	Major outer membrane protein			
tr|A5GB32|A5GB32_GEOUR	UPIMAPI	Aldehyde dehydrogenase, molybdenum-binding subunit apoprotein	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]		PF01315;PF00111;PF01799;PF02738;PF20256;
tr|A5GAJ1|A5GAJ1_GEOUR	UPIMAPI	Aldehyde ferredoxin oxidoreductase (EC 1.2.7.5)	4 iron, 4 sulfur cluster binding [GO:0051539]; aldehyde ferredoxin oxidoreductase activity [GO:0033726]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]	1.2.7.5	PF01314;PF02730;
tr|A5G7S6|A5G7S6_GEOUR	UPIMAPI	Peptidoglycan-binding LysM			PF01476;
tr|A5G7G1|A5G7G1_GEOUR	UPIMAPI	Porin			
tr|A5G6T1|A5G6T1_GEOUR	UPIMAPI	4-vinyl reductase 4VR domain-containing protein			
tr|A5G6R8|A5G6R8_GEOUR	UPIMAPI	Phosphate-selective porin O and P			PF07396;
tr|A5G5Z0|A5G5Z0_GEOUR	UPIMAPI	Acyl-CoA dehydrogenase domain protein	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]		PF00441;PF02770;PF02771;
tr|A5G5W5|A5G5W5_GEOUR	UPIMAPI	LamG domain protein jellyroll fold domain protein	carbohydrate binding [GO:0030246]		PF13205;PF17957;PF13620;PF13385;
tr|A5G4Y3|A5G4Y3_GEOUR	UPIMAPI	Prepilin-type N-terminal cleavage/methylation domain-containing protein	membrane [GO:0016020]		PF07963;
tr|A5G485|A5G485_GEOUR	UPIMAPI	Porin			
tr|A5G481|A5G481_GEOUR	UPIMAPI	Iron-containing alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]		PF00465;
tr|A5G3P3|A5G3P3_GEOUR	UPIMAPI	Glutamine synthetase (EC 6.3.1.2)	cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; glutamine synthetase activity [GO:0004356]; metal ion binding [GO:0046872]; glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]	6.3.1.2	PF00120;PF03951;
tr|A5G3N6|A5G3N6_GEOUR	UPIMAPI	Alginate export domain-containing protein			PF13372;
tr|A5D4X5|A5D4X5_PELTS	UPIMAPI	Alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]		PF00465;
tr|A5D4P0|A5D4P0_PELTS	UPIMAPI	Alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]		PF00465;
tr|A5D0L9|A5D0L9_PELTS	UPIMAPI	Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit	CoA-transferase activity [GO:0008410]		PF01144;
tr|A5D0L8|A5D0L8_PELTS	UPIMAPI	Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit	CoA-transferase activity [GO:0008410]		PF01144;
tr|A4XIP4|A4XIP4_CALS8	UPIMAPI	YD repeat protein			PF20148;PF05593;
tr|A4J5R0|A4J5R0_DESRM	UPIMAPI	Glutaconate CoA-transferase (EC 2.8.3.12)	glutaconate CoA-transferase activity [GO:0018730]	2.8.3.12	PF01144;
tr|A4J430|A4J430_DESRM	UPIMAPI	Ethanolamine utilization protein EutM	bacterial microcompartment [GO:0031469]		PF00936;
tr|A4J1J9|A4J1J9_DESRM	UPIMAPI	Glutaconate CoA-transferase (EC 2.8.3.12)	glutaconate CoA-transferase activity [GO:0018730]	2.8.3.12	PF01144;
tr|A4IMH3|A4IMH3_GEOTN	UPIMAPI	Stage V sporulation protein S	nucleic acid binding [GO:0003676]		PF04232;
tr|A4CPY2|A4CPY2_ROBBH	UPIMAPI	Outer membrane autotransporter barrel domain protein			PF13585;PF13573;
tr|A3QI07|A3QI07_SHELP	UPIMAPI	Na-Ca exchanger/integrin-beta4	membrane [GO:0016020]; integrin-mediated signaling pathway [GO:0007229]; metal ion transport [GO:0030001]		PF03160;PF13620;
tr|A2Z7F8|A2Z7F8_ORYSI	UPIMAPI	Uncharacterized protein	metal ion binding [GO:0046872]; protein ubiquitination [GO:0016567]		PF24570;PF00651;PF22486;
tr|A2SQN3|A2SQN3_METLZ	UPIMAPI	ABC-type tungstate transport system permease component-like protein			PF12849;
tr|A1ZG18|A1ZG18_MICM2	UPIMAPI	OmpA-related protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;
tr|A1ZF80|A1ZF80_MICM2	UPIMAPI	Lipoprotein, putative			PF12771;
tr|A1XWG6|A1XWG6_9EURY	UPIMAPI	Methyl coenzyme M reductase alpha subunit	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]		PF02249;
tr|A1SAK9|A1SAK9_SHEAM	UPIMAPI	Putative oar protein	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;PF07715;PF00593;
tr|A1K517|A1K517_AZOSB	UPIMAPI	Uncharacterized protein			PF05638;
tr|A1HRY1|A1HRY1_9FIRM	UPIMAPI	Superoxide dismutase (EC 1.15.1.1)	iron ion binding [GO:0005506]; superoxide dismutase activity [GO:0004784]	1.15.1.1	PF01880;
tr|A1HPY3|A1HPY3_9FIRM	UPIMAPI	TRAP transporter solute receptor, TAXI family			PF16868;
tr|A1E5U5|A1E5U5_FLAJ1	UPIMAPI	SprB	cell gliding [GO:0071976]		PF13585;PF13573;
tr|A1AUU0|A1AUU0_PELPD	UPIMAPI	NADH dehydrogenase subunit E (EC 1.6.5.3)	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	1.6.5.3	PF01257;
tr|A1AUT9|A1AUT9_PELPD	UPIMAPI	NAD(P)-dependent iron-only hydrogenase iron-sulfur protein			
tr|A1AUT8|A1AUT8_PELPD	UPIMAPI	NADH dehydrogenase subunit F (EC 1.6.5.3)	4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]	1.6.5.3	PF01512;PF13237;PF10589;
tr|A1ATN6|A1ATN6_PELPD	UPIMAPI	GYF domain-containing protein			PF01987;PF14237;
tr|A1AQI8|A1AQI8_PELPD	UPIMAPI	Transporter			PF13557;
tr|A1AQ43|A1AQ43_PELPD	UPIMAPI	SHOCT domain-containing protein			PF09851;
tr|A1APK0|A1APK0_PELPD	UPIMAPI	Pilin domain protein	membrane [GO:0016020]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]		PF07963;
tr|A1AP96|A1AP96_PELPD	UPIMAPI	Aldehyde dehydrogenase, molybdenum-binding subunit apoprotein	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]		PF01315;PF00111;PF01799;PF02738;PF20256;
tr|A1ANB0|A1ANB0_PELPD	UPIMAPI	MltA-interacting MipA family protein			
tr|A1AN37|A1AN37_PELPD	UPIMAPI	Desulfoferrodoxin (EC 1.15.1.2) (Superoxide reductase)	iron ion binding [GO:0005506]; superoxide reductase activity [GO:0050605]; removal of superoxide radicals [GO:0019430]	1.15.1.2	PF06397;PF01880;
tr|A1AMU9|A1AMU9_PELPD	UPIMAPI	Transporter			PF13557;
tr|A1AMP4|A1AMP4_PELPD	UPIMAPI	Tfp pilus assembly protein tip-associated adhesin PilY1-like protein			PF13205;
tr|A1AMF2|A1AMF2_PELPD	UPIMAPI	Porin domain-containing protein			
tr|A1AME6|A1AME6_PELPD	UPIMAPI	Iron-containing alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]		PF00465;
tr|A1AM16|A1AM16_PELPD	UPIMAPI	Acetaldehyde dehydrogenase (Acetylating) (EC 1.2.1.10)	acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]	1.2.1.10	PF00171;
tr|A1ALG5|A1ALG5_PELPD	UPIMAPI	Iron-containing alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]		PF00465;
tr|A0LQN2|A0LQN2_SYNFM	UPIMAPI	Extracellular ligand-binding receptor			PF13458;
tr|A0LQK7|A0LQK7_SYNFM	UPIMAPI	Sulfite reductase, dissimilatory-type beta subunit	sulfite reductase complex (NADPH) [GO:0009337]; 4 iron, 4 sulfur cluster binding [GO:0051539]; dissimilatory sulfite reductase activity [GO:0018551]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; sulfite reductase (ferredoxin) activity [GO:0050311]; sulfite reductase activity [GO:0016002]; sulfate assimilation [GO:0000103]		PF12838;PF01077;PF03460;
tr|A0LPP1|A0LPP1_SYNFM	UPIMAPI	TRAP transporter solute receptor, TAXI family			PF16868;
tr|A0LP29|A0LP29_SYNFM	UPIMAPI	Formate dehydrogenase alpha subunit (EC 1.17.1.9)	cell envelope [GO:0030313]; periplasmic space [GO:0042597]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; formate dehydrogenase (cytochrome-c-553) activity [GO:0047111]; formate dehydrogenase (NAD+) activity [GO:0008863]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; anaerobic respiration [GO:0009061]	1.17.1.9	PF04879;PF00384;PF01568;
tr|A0LP28|A0LP28_SYNFM	UPIMAPI	Formate dehydrogenase, alpha subunit	membrane [GO:0016020]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; formate dehydrogenase (NAD+) activity [GO:0008863]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; ATP synthesis coupled electron transport [GO:0042773]; formate metabolic process [GO:0015942]		PF13510;PF12838;PF04879;PF00384;PF01568;PF10588;
tr|A0LP14|A0LP14_SYNFM	UPIMAPI	Extracellular solute-binding protein, family 1			PF13343;
tr|A0LN34|A0LN34_SYNFM	UPIMAPI	Extracellular solute-binding protein, family 3	extracellular region [GO:0005576]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; ligand-gated monoatomic ion channel activity [GO:0015276]; amino acid transport [GO:0006865]		PF00497;
tr|A0LMX6|A0LMX6_SYNFM	UPIMAPI	Extracellular ligand-binding receptor			PF13458;
tr|A0LML7|A0LML7_SYNFM	UPIMAPI	K(+)-insensitive pyrophosphate-energized proton pump (EC 7.1.3.1) (Membrane-bound proton-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (H(+)-PPase)	endomembrane system [GO:0012505]; plasma membrane [GO:0005886]; diphosphate hydrolysis-driven proton transmembrane transporter activity [GO:0009678]; inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	7.1.3.1	PF03030;
